name,city_unmarried_m_f,rural_unmarried_m_f,city_baby_m_f,rural_baby_m_f,total_city_percent,region_code
Beijing Municipality,117,142,112,110,85.9594925,a1
Tianjin Municipality,123,144,115,113,79.4353263,a2
Hebei Province,111,137,119,119,43.9436019,a3
Shanxi Province,113,152,115,112,48.0524487,a4
Inner Mongolia Autonomous Region,127,172,105,113,55.5331191,a5
Liaoning Province,121,155,111,115,62.1491388,a6
Jilin Province,120,143,113,118,53.3577303,a7
Heilongjiang Province,123,141,113,117,55.6551652,a8
Shanghai Municipality,126,154,113,101,89.2954645,a9
Jiangsu Province,122,140,120,123,60.2223764,a10
Zhejiang Province,130,179,117,120,61.6427071,a11
Anhui Province,126,140,122,137,42.9864131,a12
Fujian Province,126,149,124,128,57.087375,a13
Jiangxi Province,129,147,125,131,43.7534752,a14
Shandong Province,117,136,121,127,49.7122615,a15
Henan Province,114,130,126,129,38.5193986,a16
Hubei Province,130,154,124,124,49.6963917,a17
Hunan Province,127,160,123,127,43.3070518,a18
Guangdong Province,129,133,131,127,66.171349,a19
Guangxi Zhuang Autonomous Region,132,180,126,120,40.018118,a20
Hainan Province,129,173,131,128,49.6860226,a21
Chongqing Municipality,125,175,111,118,53.0254207,a22
Sichuan Province,122,160,113,113,40.2206196,a23
Guizhou Province,130,171,126,126,33.778477,a24
Yunnan Province,129,188,113,114,34.7187183,a25
Tibet Autonomous Region,118,124,116,96,22.6699399,a26
Shaanxi Province,121,151,115,117,45.7019417,a27
Gansu Province,121,139,126,124,35.9377927,a28
Qinghai Province,132,153,113,113,44.7197063,a29
Ningxia Hui Autonomous Region,120,140,113,115,47.9583264,a30
Xinjiang Uyghur Autonomous Region,125,152,106,105,42.7935055,a31
